d3mIndex,V1,V2,V3,Class
0,428.0,220.0,0.390286,3
1,166.0,397.0,0.474952,3
2,586.0,735.0,0.685856,3
3,886.0,969.0,0.727257,3
4,815.0,594.0,0.370061,4
5,957.0,412.0,0.512294,4
6,499.0,564.0,0.435859,4
7,415.0,805.0,0.559074,5
8,693.0,885.0,0.533162,5
9,568.0,17.0,0.396445,1
10,281.0,24.0,0.40947,1
11,68.0,26.0,0.421151,1
12,196.0,27.0,0.364875,1
13,745.0,26.0,0.39107,1
14,370.0,31.0,0.440829,1
15,491.0,39.0,0.410691,1
16,916.0,34.0,0.369486,1
17,379.0,45.0,0.400493,1
18,935.0,44.0,0.367914,1
19,797.0,52.0,0.467992,1
20,992.0,48.0,0.363907,1
21,37.0,54.0,0.372702,1
22,478.0,62.0,0.432964,1
23,43.0,63.0,0.354667,1
24,377.0,82.0,0.380199,1
25,538.0,85.0,0.3737,1
26,26.0,92.0,0.404733,1
27,394.0,97.0,0.411239,1
28,213.0,100.0,0.36903,1
29,327.0,102.0,0.368844,1
30,88.0,106.0,0.354913,1
31,282.0,107.0,0.392545,1
32,858.0,106.0,0.394286,1
33,883.0,122.0,0.367335,1
34,952.0,129.0,0.38221,1
35,828.0,133.0,0.357413,1
36,917.0,138.0,0.368914,1
37,970.0,140.0,0.37221,1
38,16.0,157.0,0.386135,1
39,917.0,165.0,0.376364,1
40,530.0,168.0,0.355871,1
41,23.0,175.0,0.566267,1
42,666.0,180.0,0.354094,1
43,213.0,182.0,0.375562,1
44,255.0,192.0,0.37194,1
45,443.0,198.0,0.367706,1
46,772.0,202.0,0.359943,1
47,998.0,205.0,0.378673,1
48,657.0,208.0,0.360012,1
49,20.0,221.0,0.355786,1
50,575.0,223.0,0.366769,1
51,426.0,238.0,0.354676,1
52,396.0,247.0,0.39015,1
53,408.0,250.0,0.353019,1
54,307.0,258.0,0.395933,1
55,452.0,260.0,0.395643,1
56,244.0,279.0,0.411452,1
57,59.0,285.0,0.371188,1
58,396.0,291.0,0.365686,1
59,188.0,298.0,0.354778,1
60,76.0,303.0,0.387832,1
61,568.0,307.0,0.398903,1
62,843.0,312.0,0.37843,1
63,84.0,314.0,0.390314,1
64,374.0,324.0,0.503849,1
65,100.0,325.0,0.376165,1
66,838.0,328.0,0.354316,1
67,170.0,356.0,0.351059,1
68,62.0,361.0,0.389042,1
69,182.0,366.0,0.403949,1
70,671.0,361.0,0.366001,1
71,588.0,372.0,0.36296,1
72,288.0,374.0,0.362584,1
73,624.0,376.0,0.357938,1
74,709.0,378.0,0.375922,1
75,885.0,382.0,0.411866,1
76,221.0,390.0,0.397514,1
77,218.0,400.0,0.369166,1
78,403.0,402.0,0.422653,1
79,50.0,405.0,0.376841,1
80,584.0,405.0,0.387571,1
81,106.0,408.0,0.360203,1
82,907.0,428.0,0.379449,1
83,956.0,462.0,0.361582,1
84,206.0,477.0,0.378817,1
85,841.0,481.0,0.373472,1
86,78.0,490.0,0.456898,1
87,758.0,492.0,0.352839,1
88,844.0,492.0,0.358544,1
89,234.0,496.0,0.352276,1
90,140.0,499.0,0.376987,1
91,182.0,500.0,0.3889,1
92,363.0,505.0,0.403871,1
93,857.0,511.0,0.378218,1
94,883.0,520.0,0.365035,1
95,892.0,524.0,0.360027,1
96,910.0,527.0,0.447582,1
97,954.0,532.0,0.439261,1
98,390.0,536.0,0.428605,1
99,358.0,543.0,0.380378,1
100,145.0,568.0,0.37983,1
101,264.0,575.0,0.381426,1
102,882.0,575.0,0.365632,1
103,888.0,578.0,0.365025,1
104,944.0,578.0,0.371637,1
105,591.0,591.0,0.382937,1
106,163.0,599.0,0.359159,1
107,362.0,654.0,0.37776,1
108,308.0,657.0,0.421927,1
109,436.0,665.0,0.385221,1
110,869.0,672.0,0.361458,1
111,781.0,706.0,0.387378,1
112,99.0,717.0,0.388903,1
113,99.0,745.0,0.352379,1
114,400.0,746.0,0.353873,1
115,400.0,762.0,0.359942,1
116,642.0,764.0,0.357521,1
117,25.0,775.0,0.425889,1
118,664.0,779.0,0.405002,1
119,645.0,784.0,0.399487,1
120,494.0,791.0,0.373508,1
121,86.0,792.0,0.369328,1
122,518.0,793.0,0.44116,1
123,909.0,801.0,0.452932,1
124,582.0,815.0,0.385593,1
125,28.0,828.0,0.426509,1
126,592.0,839.0,0.397306,1
127,807.0,842.0,0.381074,1
128,46.0,846.0,0.351538,1
129,832.0,846.0,0.378215,1
130,775.0,850.0,0.373729,1
131,56.0,858.0,0.415496,1
132,86.0,859.0,0.432912,1
133,559.0,858.0,0.37827,1
134,972.0,858.0,0.357322,1
135,704.0,862.0,0.388463,1
136,882.0,866.0,0.365415,1
137,620.0,869.0,0.46198,1
138,1004.0,869.0,0.401491,1
139,266.0,884.0,0.364954,1
140,86.0,894.0,0.406905,1
141,583.0,892.0,0.395534,1
142,832.0,890.0,0.366602,1
143,645.0,900.0,0.35961,1
144,604.0,910.0,0.39815,1
145,825.0,916.0,0.371503,1
146,914.0,916.0,0.364684,1
147,164.0,926.0,0.358471,1
148,283.0,940.0,0.354971,1
149,558.0,952.0,0.488136,1
150,461.0,952.0,0.400735,1
151,594.0,964.0,0.351349,1
152,122.0,987.0,0.367743,1
153,906.0,988.0,0.350706,1
154,328.0,991.0,0.372781,1
155,798.0,992.0,0.38738,1
156,56.0,999.0,0.434642,1
157,25.0,1000.0,0.400628,1
158,747.0,1004.0,0.357424,1
159,380.0,1006.0,0.35876,1
160,107.0,24.0,0.519621,5
161,749.0,557.0,0.453981,4
162,744.0,612.0,0.533426,3
163,839.0,999.0,0.520014,3
164,753.0,836.0,0.543163,4
165,646.0,776.0,0.546244,4
166,814.0,896.0,0.457299,4
167,420.0,16.0,0.385231,1
168,502.0,17.0,0.42506,1
169,878.0,18.0,0.358507,1
170,740.0,27.0,0.392849,1
171,758.0,30.0,0.357675,1
172,998.0,36.0,0.425964,1
173,352.0,41.0,0.414468,1
174,381.0,43.0,0.380642,1
175,488.0,44.0,0.491368,1
176,580.0,48.0,0.406392,1
177,799.0,53.0,0.480717,1
178,494.0,56.0,0.414345,1
179,364.0,67.0,0.355524,1
180,584.0,69.0,0.358353,1
181,410.0,71.0,0.388276,1
182,852.0,79.0,0.367394,1
183,683.0,90.0,0.458129,1
184,134.0,95.0,0.381204,1
185,504.0,104.0,0.458219,1
186,579.0,107.0,0.395844,1
187,727.0,111.0,0.398771,1
188,908.0,109.0,0.365674,1
189,704.0,116.0,0.470582,1
190,857.0,121.0,0.503983,1
191,654.0,129.0,0.412723,1
192,892.0,129.0,0.437638,1
193,85.0,136.0,0.415596,1
194,556.0,146.0,0.439034,1
195,623.0,140.0,0.358022,1
196,915.0,146.0,0.421364,1
197,402.0,144.0,0.381404,1
198,728.0,160.0,0.484012,1
199,93.0,150.0,0.394057,1
200,332.0,152.0,0.389841,1
201,791.0,153.0,0.416571,1
202,415.0,164.0,0.369091,1
203,449.0,166.0,0.376614,1
204,25.0,168.0,0.373586,1
205,840.0,167.0,0.369845,1
206,387.0,171.0,0.406143,1
207,275.0,172.0,0.37739,1
208,65.0,178.0,0.389092,1
209,964.0,177.0,0.365555,1
210,262.0,185.0,0.375383,1
211,1003.0,186.0,0.432211,1
212,217.0,192.0,0.366175,1
213,485.0,196.0,0.432744,1
214,650.0,196.0,0.384342,1
215,789.0,201.0,0.398468,1
216,23.0,204.0,0.371989,1
217,56.0,208.0,0.420469,1
218,842.0,207.0,0.439439,1
219,276.0,206.0,0.360674,1
220,151.0,210.0,0.444358,1
221,231.0,212.0,0.37979,1
222,383.0,212.0,0.416298,1
223,872.0,212.0,0.411155,1
224,654.0,213.0,0.392276,1
225,176.0,219.0,0.451392,1
226,462.0,217.0,0.388487,1
227,798.0,217.0,0.387422,1
228,486.0,218.0,0.383188,1
229,927.0,222.0,0.463718,1
230,772.0,221.0,0.369198,1
231,998.0,220.0,0.364292,1
232,28.0,229.0,0.452646,1
233,124.0,226.0,0.394846,1
234,807.0,232.0,0.386747,1
235,670.0,237.0,0.390424,1
236,72.0,237.0,0.389619,1
237,271.0,238.0,0.428613,1
238,184.0,239.0,0.369113,1
239,410.0,246.0,0.400983,1
240,134.0,251.0,0.410557,1
241,888.0,252.0,0.498778,1
